#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
  249.6  7.085E+08  2.121E+08  1.222E+07  1.699E+07
  250.2  6.978E+08  2.067E+08  1.187E+07  1.692E+07
  250.8  6.874E+08  2.015E+08  1.153E+07  1.686E+07
  251.4  6.771E+08  1.964E+08  1.120E+07  1.680E+07
  252.0  6.670E+08  1.915E+08  1.087E+07  1.674E+07
  252.6  6.571E+08  1.867E+08  1.056E+07  1.667E+07
  253.2  6.473E+08  1.820E+08  1.026E+07  1.661E+07
  253.8  6.376E+08  1.774E+08  9.964E+06  1.655E+07
  254.4  6.281E+08  1.729E+08  9.678E+06  1.649E+07
  255.0  6.188E+08  1.686E+08  9.400E+06  1.643E+07
  255.6  6.096E+08  1.643E+08  9.131E+06  1.637E+07
  256.2  6.005E+08  1.602E+08  8.869E+06  1.631E+07
  256.8  5.916E+08  1.562E+08  8.615E+06  1.625E+07
  257.4  5.828E+08  1.522E+08  8.369E+06  1.619E+07
  258.0  5.742E+08  1.484E+08  8.129E+06  1.613E+07
  258.6  5.657E+08  1.447E+08  7.897E+06  1.607E+07
  259.2  5.573E+08  1.411E+08  7.671E+06  1.601E+07
  259.8  5.491E+08  1.375E+08  7.452E+06  1.595E+07
  260.4  5.410E+08  1.341E+08  7.239E+06  1.589E+07
  261.0  5.330E+08  1.307E+08  7.032E+06  1.583E+07
  261.6  5.251E+08  1.274E+08  6.831E+06  1.577E+07
  262.2  5.174E+08  1.243E+08  6.636E+06  1.572E+07
  262.8  5.097E+08  1.211E+08  6.447E+06  1.566E+07
  263.4  5.022E+08  1.181E+08  6.263E+06  1.560E+07
  264.0  4.948E+08  1.152E+08  6.084E+06  1.554E+07
  264.6  4.875E+08  1.123E+08  5.911E+06  1.549E+07
  265.2  4.804E+08  1.095E+08  5.743E+06  1.543E+07
  265.8  4.733E+08  1.067E+08  5.579E+06  1.537E+07
  266.4  4.664E+08  1.041E+08  5.420E+06  1.532E+07
  267.0  4.595E+08  1.015E+08  5.266E+06  1.526E+07
  267.6  4.528E+08  9.895E+07  5.116E+06  1.521E+07
  268.2  4.461E+08  9.648E+07  4.971E+06  1.515E+07
  268.8  4.396E+08  9.408E+07  4.829E+06  1.509E+07
  269.4  4.332E+08  9.173E+07  4.692E+06  1.504E+07
  270.0  4.268E+08  8.945E+07  4.559E+06  1.498E+07
  270.6  4.206E+08  8.722E+07  4.429E+06  1.493E+07
  271.2  4.144E+08  8.505E+07  4.304E+06  1.488E+07
  271.8  4.084E+08  8.293E+07  4.182E+06  1.482E+07
  272.4  4.024E+08  8.087E+07  4.063E+06  1.477E+07
  273.0  3.966E+08  7.886E+07  3.948E+06  1.471E+07
  273.6  3.908E+08  7.690E+07  3.836E+06  1.466E+07
  274.2  3.851E+08  7.499E+07  3.727E+06  1.461E+07
  274.8  3.795E+08  7.312E+07  3.622E+06  1.455E+07
  275.4  3.739E+08  7.131E+07  3.519E+06  1.450E+07
  276.0  3.685E+08  6.954E+07  3.419E+06  1.445E+07
  276.6  3.631E+08  6.781E+07  3.323E+06  1.440E+07
  277.2  3.579E+08  6.613E+07  3.229E+06  1.434E+07
  277.8  3.527E+08  6.449E+07  3.137E+06  1.429E+07
  278.4  3.475E+08  6.289E+07  3.048E+06  1.424E+07
  279.0  3.425E+08  6.133E+07  2.962E+06  1.419E+07
  279.6  3.375E+08  5.981E+07  2.879E+06  1.414E+07
  280.2  3.326E+08  5.833E+07  2.797E+06  1.409E+07
  280.8  3.278E+08  5.688E+07  2.718E+06  1.404E+07
  281.4  3.231E+08  5.547E+07  2.641E+06  1.399E+07
  282.0  3.184E+08  5.410E+07  2.567E+06  1.394E+07
  282.6  3.138E+08  5.276E+07  2.494E+06  1.388E+07
  283.2  3.093E+08  5.146E+07  2.424E+06  1.383E+07
  283.8  3.048E+08  5.018E+07  2.356E+06  1.378E+07
  284.4  3.004E+08  4.894E+07  2.289E+06  1.374E+07
  285.0  2.960E+08  4.773E+07  2.225E+06  1.369E+07
  285.6  2.918E+08  4.655E+07  2.162E+06  1.364E+07
  286.2  2.876E+08  4.540E+07  2.101E+06  1.359E+07
  286.8  2.834E+08  4.428E+07  2.042E+06  1.354E+07
  287.4  2.793E+08  4.319E+07  1.984E+06  1.349E+07
  288.0  2.753E+08  4.212E+07  1.929E+06  1.344E+07
  288.6  2.713E+08  4.108E+07  1.874E+06  1.339E+07
  289.2  2.674E+08  4.007E+07  1.822E+06  1.335E+07
  289.8  2.636E+08  3.908E+07  1.770E+06  1.330E+07
  290.4  2.598E+08  3.812E+07  1.721E+06  1.325E+07
  291.0  2.561E+08  3.718E+07  1.672E+06  1.320E+07
  291.6  2.524E+08  3.626E+07  1.625E+06  1.316E+07
  292.2  2.488E+08  3.537E+07  1.580E+06  1.311E+07
  292.8  2.452E+08  3.450E+07  1.535E+06  1.306E+07
  293.4  2.417E+08  3.365E+07  1.492E+06  1.301E+07
  294.0  2.382E+08  3.282E+07  1.450E+06  1.297E+07
  294.6  2.348E+08  3.201E+07  1.409E+06  1.292E+07
  295.2  2.314E+08  3.123E+07  1.370E+06  1.288E+07
  295.8  2.281E+08  3.046E+07  1.332E+06  1.283E+07
  296.4  2.248E+08  2.971E+07  1.294E+06  1.278E+07
  297.0  2.216E+08  2.898E+07  1.258E+06  1.274E+07
  297.6  2.184E+08  2.827E+07  1.223E+06  1.269E+07
  298.2  2.153E+08  2.757E+07  1.188E+06  1.265E+07
  298.8  2.122E+08  2.689E+07  1.155E+06  1.260E+07
  299.4  2.092E+08  2.623E+07  1.123E+06  1.256E+07
  300.0  2.058E+08  2.559E+07  1.091E+06  1.251E+07
  300.6  2.028E+08  2.496E+07  1.061E+06  1.247E+07
  301.2  1.999E+08  2.435E+07  1.031E+06  1.242E+07
  301.8  1.971E+08  2.375E+07  1.002E+06  1.238E+07
  302.4  1.943E+08  2.317E+07  9.741E+05  1.233E+07
  303.0  1.915E+08  2.260E+07  9.469E+05  1.229E+07
  303.6  1.888E+08  2.205E+07  9.204E+05  1.225E+07
  304.2  1.861E+08  2.151E+07  8.947E+05  1.220E+07
  304.8  1.835E+08  2.098E+07  8.697E+05  1.216E+07
  305.4  1.809E+08  2.047E+07  8.454E+05  1.212E+07
  306.0  1.783E+08  1.996E+07  8.217E+05  1.207E+07
  306.6  1.757E+08  1.948E+07  7.988E+05  1.203E+07
  307.2  1.733E+08  1.900E+07  7.765E+05  1.199E+07
  307.8  1.708E+08  1.853E+07  7.548E+05  1.195E+07
  308.4  1.684E+08  1.808E+07  7.337E+05  1.190E+07
  309.0  1.660E+08  1.764E+07  7.133E+05  1.186E+07
  309.6  1.636E+08  1.721E+07  6.934E+05  1.182E+07
  310.2  1.613E+08  1.679E+07  6.740E+05  1.178E+07
  310.8  1.590E+08  1.638E+07  6.552E+05  1.174E+07
  311.4  1.568E+08  1.597E+07  6.370E+05  1.169E+07
  312.0  1.545E+08  1.558E+07  6.192E+05  1.165E+07
  312.6  1.524E+08  1.520E+07  6.019E+05  1.161E+07
  313.2  1.502E+08  1.483E+07  5.852E+05  1.157E+07
  313.8  1.481E+08  1.447E+07  5.689E+05  1.153E+07
  314.4  1.460E+08  1.412E+07  5.530E+05  1.149E+07
  315.0  1.439E+08  1.377E+07  5.376E+05  1.145E+07
  315.6  1.419E+08  1.344E+07  5.227E+05  1.141E+07
  316.2  1.399E+08  1.311E+07  5.081E+05  1.137E+07
  316.8  1.379E+08  1.279E+07  4.940E+05  1.133E+07
  317.4  1.360E+08  1.248E+07  4.802E+05  1.129E+07
  318.0  1.340E+08  1.217E+07  4.669E+05  1.125E+07
  318.6  1.321E+08  1.188E+07  4.539E+05  1.121E+07
  319.2  1.303E+08  1.159E+07  4.413E+05  1.117E+07
  319.8  1.284E+08  1.130E+07  4.290E+05  1.113E+07
  320.4  1.266E+08  1.103E+07  4.171E+05  1.109E+07
  321.0  1.248E+08  1.076E+07  4.055E+05  1.105E+07
  321.6  1.231E+08  1.050E+07  3.942E+05  1.101E+07
  322.2  1.214E+08  1.024E+07  3.833E+05  1.097E+07
  322.8  1.196E+08  9.993E+06  3.726E+05  1.093E+07
  323.4  1.180E+08  9.750E+06  3.623E+05  1.090E+07
  324.0  1.163E+08  9.513E+06  3.522E+05  1.086E+07
  324.6  1.147E+08  9.281E+06  3.425E+05  1.082E+07
  325.2  1.131E+08  9.056E+06  3.330E+05  1.078E+07
  325.8  1.115E+08  8.836E+06  3.237E+05  1.074E+07
  326.4  1.099E+08  8.621E+06  3.148E+05  1.070E+07
  327.0  1.084E+08  8.411E+06  3.060E+05  1.067E+07
  327.6  1.068E+08  8.207E+06  2.976E+05  1.063E+07
  328.2  1.053E+08  8.007E+06  2.893E+05  1.059E+07
  328.8  1.038E+08  7.813E+06  2.813E+05  1.055E+07
  329.4  1.024E+08  7.623E+06  2.735E+05  1.052E+07
  330.0  1.010E+08  7.438E+06  2.659E+05  1.048E+07
  330.6  9.954E+07  7.258E+06  2.586E+05  1.044E+07
  331.2  9.814E+07  7.081E+06  2.514E+05  1.041E+07
  331.8  9.677E+07  6.910E+06  2.444E+05  1.037E+07
  332.4  9.541E+07  6.742E+06  2.377E+05  1.033E+07
  333.0  9.407E+07  6.579E+06  2.311E+05  1.030E+07
  333.6  9.275E+07  6.419E+06  2.247E+05  1.026E+07
  334.2  9.145E+07  6.263E+06  2.185E+05  1.023E+07
  334.8  9.017E+07  6.112E+06  2.125E+05  1.019E+07
  335.4  8.891E+07  5.963E+06  2.066E+05  1.015E+07
  336.0  8.767E+07  5.819E+06  2.009E+05  1.012E+07
  336.6  8.644E+07  5.678E+06  1.953E+05  1.008E+07
  337.2  8.523E+07  5.540E+06  1.899E+05  1.005E+07
  337.8  8.404E+07  5.406E+06  1.847E+05  1.001E+07
  338.4  8.286E+07  5.275E+06  1.796E+05  9.978E+06
  339.0  8.171E+07  5.148E+06  1.746E+05  9.943E+06
  339.6  8.056E+07  5.023E+06  1.698E+05  9.908E+06
  340.2  7.944E+07  4.902E+06  1.651E+05  9.874E+06
  340.8  7.833E+07  4.783E+06  1.606E+05  9.839E+06
  341.4  7.724E+07  4.667E+06  1.561E+05  9.805E+06
  342.0  7.616E+07  4.555E+06  1.518E+05  9.770E+06
  342.6  7.509E+07  4.444E+06  1.476E+05  9.736E+06
  343.2  7.405E+07  4.337E+06  1.436E+05  9.702E+06
  343.8  7.301E+07  4.232E+06  1.396E+05  9.668E+06
  344.4  7.200E+07  4.130E+06  1.358E+05  9.634E+06
  345.0  7.099E+07  4.030E+06  1.320E+05  9.601E+06
  345.6  7.000E+07  3.933E+06  1.284E+05  9.567E+06
  346.2  6.903E+07  3.838E+06  1.248E+05  9.534E+06
  346.8  6.806E+07  3.745E+06  1.214E+05  9.501E+06
  347.4  6.712E+07  3.655E+06  1.181E+05  9.467E+06
  348.0  6.618E+07  3.567E+06  1.148E+05  9.434E+06
  348.6  6.526E+07  3.480E+06  1.116E+05  9.402E+06
  349.2  6.435E+07  3.397E+06  1.086E+05  9.369E+06
  349.8  6.346E+07  3.315E+06  1.056E+05  9.336E+06
  350.4  6.257E+07  3.235E+06  1.027E+05  9.304E+06
  351.0  6.170E+07  3.157E+06  9.986E+04  9.271E+06
  351.6  6.085E+07  3.081E+06  9.711E+04  9.239E+06
  352.2  6.000E+07  3.006E+06  9.444E+04  9.207E+06
  352.8  5.917E+07  2.934E+06  9.184E+04  9.175E+06
  353.4  5.834E+07  2.863E+06  8.932E+04  9.143E+06
  354.0  5.753E+07  2.794E+06  8.686E+04  9.111E+06
  354.6  5.673E+07  2.727E+06  8.448E+04  9.079E+06
  355.2  5.595E+07  2.661E+06  8.216E+04  9.048E+06
  355.8  5.517E+07  2.597E+06  7.990E+04  9.016E+06
  356.4  5.440E+07  2.535E+06  7.771E+04  8.985E+06
  357.0  5.365E+07  2.474E+06  7.557E+04  8.953E+06
  357.6  5.291E+07  2.414E+06  7.350E+04  8.922E+06
  358.2  5.217E+07  2.356E+06  7.148E+04  8.891E+06
  358.8  5.145E+07  2.299E+06  6.952E+04  8.860E+06
  359.4  5.074E+07  2.244E+06  6.761E+04  8.830E+06
  360.0  5.003E+07  2.190E+06  6.576E+04  8.799E+06
  360.6  4.934E+07  2.138E+06  6.396E+04  8.768E+06
  361.2  4.866E+07  2.086E+06  6.220E+04  8.738E+06
  361.8  4.798E+07  2.036E+06  6.050E+04  8.708E+06
  362.4  4.732E+07  1.987E+06  5.884E+04  8.677E+06
  363.0  4.666E+07  1.939E+06  5.723E+04  8.647E+06
  363.6  4.602E+07  1.893E+06  5.566E+04  8.617E+06
  364.2  4.538E+07  1.847E+06  5.413E+04  8.587E+06
  364.8  4.475E+07  1.803E+06  5.265E+04  8.558E+06
  365.4  4.413E+07  1.760E+06  5.121E+04  8.528E+06
  366.0  4.352E+07  1.718E+06  4.981E+04  8.498E+06
  366.6  4.292E+07  1.676E+06  4.844E+04  8.469E+06
  367.2  4.233E+07  1.636E+06  4.712E+04  8.440E+06
  367.8  4.174E+07  1.597E+06  4.583E+04  8.410E+06
  368.4  4.117E+07  1.559E+06  4.458E+04  8.381E+06
  369.0  4.060E+07  1.521E+06  4.336E+04  8.352E+06
  369.6  4.004E+07  1.485E+06  4.217E+04  8.323E+06
  370.2  3.948E+07  1.449E+06  4.102E+04  8.294E+06
  370.8  3.894E+07  1.414E+06  3.990E+04  8.266E+06
  371.4  3.840E+07  1.381E+06  3.881E+04  8.237E+06
  372.0  3.787E+07  1.347E+06  3.775E+04  8.209E+06
  372.6  3.735E+07  1.315E+06  3.671E+04  8.180E+06
  373.2  3.683E+07  1.284E+06  3.571E+04  8.152E+06
  373.8  3.633E+07  1.253E+06  3.474E+04  8.124E+06
  374.4  3.583E+07  1.223E+06  3.379E+04  8.096E+06
  375.0  3.533E+07  1.194E+06  3.287E+04  8.068E+06
  375.6  3.484E+07  1.165E+06  3.197E+04  8.040E+06
  376.2  3.436E+07  1.137E+06  3.110E+04  8.012E+06
  376.8  3.389E+07  1.110E+06  3.025E+04  7.984E+06
  377.4  3.342E+07  1.084E+06  2.942E+04  7.957E+06
  378.0  3.296E+07  1.058E+06  2.862E+04  7.929E+06
  378.6  3.251E+07  1.032E+06  2.784E+04  7.902E+06
  379.2  3.206E+07  1.008E+06  2.708E+04  7.875E+06
  379.8  3.162E+07  9.836E+05  2.634E+04  7.847E+06
  380.4  3.119E+07  9.601E+05  2.562E+04  7.820E+06
  381.0  3.076E+07  9.372E+05  2.493E+04  7.793E+06
  381.6  3.034E+07  9.148E+05  2.425E+04  7.767E+06
  382.2  2.992E+07  8.930E+05  2.359E+04  7.740E+06
  382.8  2.951E+07  8.716E+05  2.294E+04  7.713E+06
  383.4  2.910E+07  8.508E+05  2.232E+04  7.686E+06
  384.0  2.870E+07  8.305E+05  2.171E+04  7.660E+06
  384.6  2.831E+07  8.107E+05  2.112E+04  7.634E+06
  385.2  2.792E+07  7.914E+05  2.055E+04  7.607E+06
  385.8  2.754E+07  7.725E+05  1.999E+04  7.581E+06
  386.4  2.716E+07  7.541E+05  1.944E+04  7.555E+06
  387.0  2.678E+07  7.361E+05  1.891E+04  7.529E+06
  387.6  2.642E+07  7.186E+05  1.840E+04  7.503E+06
  388.2  2.605E+07  7.014E+05  1.790E+04  7.477E+06
  388.8  2.570E+07  6.847E+05  1.741E+04  7.451E+06
  389.4  2.535E+07  6.684E+05  1.694E+04  7.426E+06
  390.0  2.500E+07  6.525E+05  1.648E+04  7.400E+06
  390.6  2.466E+07  6.369E+05  1.603E+04  7.375E+06
  391.2  2.432E+07  6.218E+05  1.560E+04  7.349E+06
  391.8  2.398E+07  6.070E+05  1.517E+04  7.324E+06
  392.4  2.366E+07  5.925E+05  1.476E+04  7.299E+06
  393.0  2.333E+07  5.784E+05  1.436E+04  7.274E+06
  393.6  2.301E+07  5.646E+05  1.397E+04  7.249E+06
  394.2  2.270E+07  5.512E+05  1.359E+04  7.224E+06
  394.8  2.239E+07  5.381E+05  1.322E+04  7.199E+06
  395.4  2.208E+07  5.253E+05  1.286E+04  7.175E+06
  396.0  2.178E+07  5.128E+05  1.251E+04  7.150E+06
  396.6  2.148E+07  5.006E+05  1.217E+04  7.125E+06
  397.2  2.119E+07  4.887E+05  1.184E+04  7.101E+06
  397.8  2.090E+07  4.771E+05  1.152E+04  7.077E+06
  398.4  2.061E+07  4.658E+05  1.121E+04  7.052E+06
  399.0  2.033E+07  4.547E+05  1.091E+04  7.028E+06
  399.6  2.005E+07  4.439E+05  1.061E+04  7.004E+06
  400.2  1.974E+07  4.334E+05  1.032E+04  6.980E+06
  400.8  1.947E+07  4.231E+05  1.004E+04  6.956E+06
  401.4  1.920E+07  4.130E+05  9.772E+03  6.932E+06
  402.0  1.894E+07  4.032E+05  9.507E+03  6.908E+06
  402.6  1.868E+07  3.937E+05  9.250E+03  6.885E+06
  403.2  1.843E+07  3.843E+05  8.999E+03  6.861E+06
  403.8  1.818E+07  3.752E+05  8.756E+03  6.838E+06
  404.4  1.793E+07  3.663E+05  8.519E+03  6.814E+06
  405.0  1.769E+07  3.576E+05  8.288E+03  6.791E+06
  405.6  1.745E+07  3.491E+05  8.064E+03  6.768E+06
  406.2  1.721E+07  3.409E+05  7.846E+03  6.745E+06
  406.8  1.697E+07  3.328E+05  7.634E+03  6.721E+06
  407.4  1.674E+07  3.249E+05  7.427E+03  6.698E+06
  408.0  1.651E+07  3.172E+05  7.227E+03  6.676E+06
  408.6  1.629E+07  3.097E+05  7.031E+03  6.653E+06
  409.2  1.607E+07  3.023E+05  6.841E+03  6.630E+06
  409.8  1.585E+07  2.952E+05  6.656E+03  6.607E+06
  410.4  1.563E+07  2.882E+05  6.477E+03  6.585E+06
  411.0  1.542E+07  2.814E+05  6.302E+03  6.562E+06
  411.6  1.521E+07  2.747E+05  6.131E+03  6.540E+06
  412.2  1.501E+07  2.682E+05  5.966E+03  6.517E+06
  412.8  1.480E+07  2.619E+05  5.805E+03  6.495E+06
  413.4  1.460E+07  2.557E+05  5.648E+03  6.473E+06
  414.0  1.440E+07  2.496E+05  5.496E+03  6.451E+06
  414.6  1.421E+07  2.437E+05  5.348E+03  6.429E+06
  415.2  1.401E+07  2.380E+05  5.203E+03  6.407E+06
  415.8  1.382E+07  2.323E+05  5.063E+03  6.385E+06
  416.4  1.364E+07  2.268E+05  4.926E+03  6.363E+06
  417.0  1.345E+07  2.215E+05  4.794E+03  6.342E+06
  417.6  1.327E+07  2.162E+05  4.664E+03  6.320E+06
  418.2  1.309E+07  2.111E+05  4.539E+03  6.298E+06
  418.8  1.291E+07  2.062E+05  4.416E+03  6.277E+06
  419.4  1.274E+07  2.013E+05  4.297E+03  6.256E+06
  420.0  1.256E+07  1.965E+05  4.182E+03  6.234E+06
  420.6  1.239E+07  1.919E+05  4.069E+03  6.213E+06
  421.2  1.222E+07  1.874E+05  3.959E+03  6.192E+06
  421.8  1.206E+07  1.829E+05  3.853E+03  6.171E+06
  422.4  1.190E+07  1.786E+05  3.749E+03  6.150E+06
  423.0  1.173E+07  1.744E+05  3.648E+03  6.129E+06
  423.6  1.157E+07  1.703E+05  3.550E+03  6.108E+06
  424.2  1.142E+07  1.663E+05  3.455E+03  6.087E+06
  424.8  1.126E+07  1.624E+05  3.362E+03  6.066E+06
  425.4  1.111E+07  1.585E+05  3.271E+03  6.046E+06
  426.0  1.096E+07  1.548E+05  3.183E+03  6.025E+06
  426.6  1.081E+07  1.512E+05  3.098E+03  6.005E+06
  427.2  1.067E+07  1.476E+05  3.014E+03  5.984E+06
  427.8  1.052E+07  1.441E+05  2.933E+03  5.964E+06
  428.4  1.038E+07  1.407E+05  2.855E+03  5.944E+06
  429.0  1.024E+07  1.374E+05  2.778E+03  5.923E+06
  429.6  1.010E+07  1.342E+05  2.703E+03  5.903E+06
  430.2  9.964E+06  1.310E+05  2.631E+03  5.883E+06
  430.8  9.829E+06  1.279E+05  2.560E+03  5.863E+06
  431.4  9.696E+06  1.249E+05  2.491E+03  5.843E+06
  432.0  9.565E+06  1.220E+05  2.424E+03  5.824E+06
  432.6  9.436E+06  1.191E+05  2.359E+03  5.804E+06
  433.2  9.309E+06  1.163E+05  2.296E+03  5.784E+06
  433.8  9.183E+06  1.136E+05  2.234E+03  5.764E+06
  434.4  9.059E+06  1.109E+05  2.175E+03  5.745E+06
  435.0  8.937E+06  1.083E+05  2.116E+03  5.725E+06
  435.6  8.816E+06  1.058E+05  2.059E+03  5.706E+06
  436.2  8.697E+06  1.033E+05  2.004E+03  5.687E+06
  436.8  8.580E+06  1.008E+05  1.951E+03  5.667E+06
  437.4  8.464E+06  9.847E+04  1.898E+03  5.648E+06
  438.0  8.350E+06  9.616E+04  1.847E+03  5.629E+06
  438.6  8.237E+06  9.390E+04  1.798E+03  5.610E+06
  439.2  8.126E+06  9.170E+04  1.750E+03  5.591E+06
  439.8  8.017E+06  8.954E+04  1.703E+03  5.572E+06
  440.4  7.908E+06  8.744E+04  1.657E+03  5.553E+06
  441.0  7.802E+06  8.539E+04  1.613E+03  5.534E+06
  441.6  7.697E+06  8.339E+04  1.570E+03  5.515E+06
  442.2  7.593E+06  8.143E+04  1.528E+03  5.497E+06
  442.8  7.491E+06  7.952E+04  1.487E+03  5.478E+06
  443.4  7.390E+06  7.766E+04  1.447E+03  5.460E+06
  444.0  7.290E+06  7.584E+04  1.408E+03  5.441E+06
  444.6  7.192E+06  7.406E+04  1.371E+03  5.423E+06
  445.2  7.095E+06  7.232E+04  1.334E+03  5.404E+06
  445.8  7.000E+06  7.063E+04  1.298E+03  5.386E+06
  446.4  6.906E+06  6.897E+04  1.264E+03  5.368E+06
  447.0  6.813E+06  6.736E+04  1.230E+03  5.350E+06
  447.6  6.721E+06  6.578E+04  1.197E+03  5.332E+06
  448.2  6.631E+06  6.424E+04  1.165E+03  5.314E+06
  448.8  6.542E+06  6.274E+04  1.134E+03  5.296E+06
  449.4  6.454E+06  6.127E+04  1.104E+03  5.278E+06
  450.0  6.367E+06  5.983E+04  1.074E+03  5.260E+06
  450.6  6.281E+06  5.843E+04  1.045E+03  5.242E+06
  451.2  6.197E+06  5.707E+04  1.018E+03  5.225E+06
  451.8  6.114E+06  5.573E+04  9.904E+02  5.207E+06
  452.4  6.032E+06  5.443E+04  9.640E+02  5.189E+06
  453.0  5.951E+06  5.316E+04  9.383E+02  5.172E+06
  453.6  5.871E+06  5.191E+04  9.133E+02  5.154E+06
  454.2  5.792E+06  5.070E+04  8.889E+02  5.137E+06
  454.8  5.714E+06  4.951E+04  8.652E+02  5.120E+06
  455.4  5.637E+06  4.836E+04  8.421E+02  5.102E+06
  456.0  5.562E+06  4.723E+04  8.197E+02  5.085E+06
  456.6  5.487E+06  4.612E+04  7.978E+02  5.068E+06
  457.2  5.414E+06  4.505E+04  7.766E+02  5.051E+06
  457.8  5.341E+06  4.400E+04  7.559E+02  5.034E+06
  458.4  5.269E+06  4.297E+04  7.358E+02  5.017E+06
  459.0  5.199E+06  4.197E+04  7.162E+02  5.000E+06
  459.6  5.129E+06  4.099E+04  6.971E+02  4.983E+06
  460.2  5.060E+06  4.003E+04  6.785E+02  4.966E+06
  460.8  4.993E+06  3.910E+04  6.605E+02  4.950E+06
  461.4  4.926E+06  3.818E+04  6.429E+02  4.933E+06
  462.0  4.860E+06  3.729E+04  6.258E+02  4.916E+06
  462.6  4.795E+06  3.642E+04  6.091E+02  4.900E+06
  463.2  4.730E+06  3.557E+04  5.929E+02  4.883E+06
  463.8  4.667E+06  3.475E+04  5.772E+02  4.867E+06
  464.4  4.605E+06  3.394E+04  5.618E+02  4.851E+06
  465.0  4.543E+06  3.314E+04  5.469E+02  4.834E+06
  465.6  4.482E+06  3.237E+04  5.323E+02  4.818E+06
  466.2  4.422E+06  3.162E+04  5.182E+02  4.802E+06
  466.8  4.363E+06  3.088E+04  5.044E+02  4.786E+06
  467.4  4.305E+06  3.016E+04  4.910E+02  4.770E+06
  468.0  4.247E+06  2.946E+04  4.780E+02  4.754E+06
  468.6  4.190E+06  2.877E+04  4.653E+02  4.738E+06
  469.2  4.134E+06  2.811E+04  4.529E+02  4.722E+06
  469.8  4.079E+06  2.745E+04  4.409E+02  4.706E+06
  470.4  4.025E+06  2.681E+04  4.292E+02  4.690E+06
  471.0  3.971E+06  2.619E+04  4.178E+02  4.674E+06
  471.6  3.918E+06  2.558E+04  4.067E+02  4.659E+06
  472.2  3.866E+06  2.498E+04  3.959E+02  4.643E+06
  472.8  3.814E+06  2.440E+04  3.854E+02  4.627E+06
  473.4  3.763E+06  2.384E+04  3.752E+02  4.612E+06
  474.0  3.713E+06  2.328E+04  3.653E+02  4.596E+06
  474.6  3.663E+06  2.274E+04  3.556E+02  4.581E+06
  475.2  3.614E+06  2.221E+04  3.462E+02  4.566E+06
  475.8  3.566E+06  2.170E+04  3.370E+02  4.550E+06
  476.4  3.519E+06  2.119E+04  3.281E+02  4.535E+06
  477.0  3.472E+06  2.070E+04  3.194E+02  4.520E+06
  477.6  3.425E+06  2.022E+04  3.109E+02  4.505E+06
  478.2  3.380E+06  1.975E+04  3.027E+02  4.490E+06
  478.8  3.335E+06  1.929E+04  2.947E+02  4.475E+06
  479.4  3.290E+06  1.885E+04  2.869E+02  4.460E+06
  480.0  3.246E+06  1.841E+04  2.793E+02  4.445E+06
  480.6  3.203E+06  1.798E+04  2.719E+02  4.430E+06
  481.2  3.160E+06  1.756E+04  2.647E+02  4.415E+06
  481.8  3.118E+06  1.716E+04  2.577E+02  4.400E+06
  482.4  3.077E+06  1.676E+04  2.509E+02  4.386E+06
  483.0  3.036E+06  1.637E+04  2.442E+02  4.371E+06
  483.6  2.995E+06  1.599E+04  2.378E+02  4.356E+06
  484.2  2.956E+06  1.562E+04  2.315E+02  4.342E+06
  484.8  2.916E+06  1.526E+04  2.254E+02  4.327E+06
  485.4  2.877E+06  1.491E+04  2.194E+02  4.313E+06
  486.0  2.839E+06  1.456E+04  2.136E+02  4.298E+06
  486.6  2.801E+06  1.422E+04  2.080E+02  4.284E+06
  487.2  2.764E+06  1.389E+04  2.025E+02  4.270E+06
  487.8  2.727E+06  1.357E+04  1.971E+02  4.255E+06
  488.4  2.691E+06  1.326E+04  1.919E+02  4.241E+06
  489.0  2.655E+06  1.295E+04  1.868E+02  4.227E+06
  489.6  2.620E+06  1.265E+04  1.819E+02  4.213E+06
  490.2  2.585E+06  1.236E+04  1.771E+02  4.199E+06
  490.8  2.551E+06  1.207E+04  1.724E+02  4.185E+06
  491.4  2.517E+06  1.179E+04  1.679E+02  4.171E+06
  492.0  2.484E+06  1.152E+04  1.635E+02  4.157E+06
  492.6  2.451E+06  1.125E+04  1.591E+02  4.143E+06
  493.2  2.418E+06  1.099E+04  1.550E+02  4.129E+06
  493.8  2.386E+06  1.074E+04  1.509E+02  4.116E+06
  494.4  2.354E+06  1.049E+04  1.469E+02  4.102E+06
  495.0  2.323E+06  1.025E+04  1.430E+02  4.088E+06
  495.6  2.292E+06  1.001E+04  1.392E+02  4.074E+06
  496.2  2.262E+06  9.782E+03  1.356E+02  4.061E+06
  496.8  2.232E+06  9.556E+03  1.320E+02  4.047E+06
  497.4  2.202E+06  9.336E+03  1.285E+02  4.034E+06
  498.0  2.173E+06  9.120E+03  1.251E+02  4.020E+06
  498.6  2.144E+06  8.910E+03  1.219E+02  4.007E+06
  499.2  2.116E+06  8.704E+03  1.186E+02  3.994E+06
  499.8  2.088E+06  8.503E+03  1.155E+02  3.980E+06
  500.4  2.060E+06  8.307E+03  1.125E+02  3.967E+06
  501.0  2.033E+06  8.116E+03  1.095E+02  3.954E+06
  501.6  2.006E+06  7.928E+03  1.066E+02  3.941E+06
  502.2  1.980E+06  7.746E+03  1.038E+02  3.928E+06
  502.8  1.953E+06  7.567E+03  1.011E+02  3.915E+06
