#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
   57.0  0.000E+00  4.207E+15  1.129E+15  2.823E+10
   57.6  0.000E+00  3.903E+15  1.047E+15  2.619E+10
   58.2  0.000E+00  3.622E+15  9.717E+14  2.431E+10
   58.8  0.000E+00  3.361E+15  9.017E+14  2.256E+10
   59.4  0.000E+00  3.119E+15  8.367E+14  2.093E+10
   60.0  0.000E+00  2.894E+15  7.763E+14  1.942E+10
   60.6  0.000E+00  2.685E+15  7.202E+14  1.802E+10
   61.2  0.000E+00  2.490E+15  6.680E+14  1.671E+10
   61.8  0.000E+00  2.309E+15  6.194E+14  1.550E+10
   62.4  0.000E+00  2.141E+15  5.743E+14  1.436E+10
   63.0  0.000E+00  1.984E+15  5.321E+14  1.332E+10
   63.6  0.000E+00  1.838E+15  4.929E+14  1.235E+10
   64.2  0.000E+00  1.702E+15  4.564E+14  1.145E+10
   64.8  0.000E+00  1.576E+15  4.225E+14  1.061E+10
   65.4  0.000E+00  1.458E+15  3.909E+14  9.829E+09
   66.0  0.000E+00  1.349E+15  3.615E+14  9.099E+09
   66.6  0.000E+00  1.247E+15  3.342E+14  8.420E+09
   67.2  0.000E+00  1.152E+15  3.087E+14  7.788E+09
   67.8  0.000E+00  1.064E+15  2.851E+14  7.199E+09
   68.4  0.000E+00  9.823E+14  2.631E+14  6.652E+09
   69.0  0.000E+00  9.062E+14  2.427E+14  6.143E+09
   69.6  0.000E+00  8.357E+14  2.238E+14  5.669E+09
   70.2  0.000E+00  7.702E+14  2.062E+14  5.230E+09
   70.8  0.000E+00  7.094E+14  1.899E+14  4.822E+09
   71.4  0.000E+00  6.531E+14  1.748E+14  4.443E+09
   72.0  0.000E+00  6.009E+14  1.608E+14  4.092E+09
   72.6  1.248E+07  5.542E+14  1.483E+14  3.777E+09
   73.2  2.014E+07  5.094E+14  1.363E+14  3.477E+09
   73.8  3.237E+07  4.681E+14  1.252E+14  3.199E+09
   74.4  5.178E+07  4.300E+14  1.150E+14  2.944E+09
   75.0  8.231E+07  3.949E+14  1.056E+14  2.708E+09
   75.6  1.299E+08  3.626E+14  9.692E+13  2.491E+09
   76.2  2.032E+08  3.329E+14  8.894E+13  2.291E+09
   76.8  3.148E+08  3.055E+14  8.160E+13  2.107E+09
   77.4  4.827E+08  2.803E+14  7.485E+13  1.938E+09
   78.0  7.318E+08  2.571E+14  6.864E+13  1.783E+09
   78.6  1.096E+09  2.359E+14  6.293E+13  1.640E+09
   79.2  1.620E+09  2.163E+14  5.769E+13  1.509E+09
   79.8  2.363E+09  1.984E+14  5.288E+13  1.388E+09
   80.4  3.398E+09  1.819E+14  4.846E+13  1.277E+09
   81.0  4.818E+09  1.667E+14  4.440E+13  1.176E+09
   81.6  6.730E+09  1.529E+14  4.067E+13  1.082E+09
